id	lat	long	$gauge	
1497	35.093	129.037	Korea - Busan 	
938	35.29	-2.93	Spain - Melilla 	
1518	35.5	12.604	Italy - Lampedusa 	
1516	35.514	23.637	Greece - Kasteli 	
833	35.54	-5.19	Spain - Ceuta 	
2485	35.92111	14.49417	Malta - Portomaso	
1478	36.006	-5.604	Spain - Tarifa 	
884	36.13	-5.35	UK - Gibraltar 	
1308	36.13	-5.35	UK - Gibraltar(GTS)	
1441	36.177	-5.398	Spain - Algeciras 	
862	36.1833	-75.7466	USA - Duck_Pier_NC 	
1345	36.72	-3.52	Spain - Motril2	
804	36.83	-2.48	Spain - Almeria 	
1451	37.022	22.11	Greece - Kalamata 	
2447	37.03333	27.41667	Turkey - Bodrum	
1051	37.10191	-8.673238	Lagos	
898	37.13	-6.83	Spain - Huelva5 	
963	37.1725	13.3128	Italy - Porto empedocle 	
1477	37.438	24.941	Greece - Syros 	
1503	37.498	15.094	Italy - Catania 	
37	37.56207	-49.99998	790 NM NE of Bermuda	
2516	37.5788	-50.0062	Station 444X1 - Buoy Adrift	
1452	37.64	21.319	Greece - Katakolo 	
962	37.73	-25.68	Portugal - Ponta_Delgada_Azor 	
1269	37.772	-122.298	USA - Alameda	
880	37.807	-122.465	USA - Ft_Point San_Fran	
1463	37.935	23.621	Greece - Peiraias 	
1052	37.95134	-8.875896	Sines	
1539	38.121	13.371	Italy - Palermo 	
1532	38.196	15.563	Italy - Messina 	
38	38.20436	-67.93835	 250 NM SE of Montauk Pt N.Y.	
1053	38.44484	-9.102014	Sesimbra	
2466	38.46	-8.94	Setubal	
63	38.5315	-28.32117	Pico	
62	38.534	-28.62183	Faial Island	
1287	38.573	-76.068	USA - Cambridge	
64	38.6505	-27.22183	Terceira	
831	38.69316	-9	Portugal - Cascais 	
25	38.70625	148.665	450 NM Northeast of Tokyo- Japan	
1509	38.784	15.193	Italy - Ginostra (Isola di Stromboli) 	
810	38.913	-123.705	USA - Arena_Cove_CA 	
1449	38.917	1.45	Spain - Ibiza2 	
842	38.9683	-74.96	USA - Cape_May_NJ 	
1306	39	-0.15	Spain - Gandia	
954	39	141.75	Japan - Ofunato 	
834	39.0837	8.1829	Italy - Carloforte 	
1498	39.21	9.114	Italy - Cagliari 	
1276	39.267	-76.578	USA - Baltimore	
72	39.34	-127.007	Station 46411 - 260 NM Northwest of San Francisco- CA	
800	39.355	-74.4183	USA - Atlantic_City_NJ 	
1420	39.44	-0.31	Spain - Valencia	
1092	39.487	-70.594	Station 44402 - 136NM SE of Fire Island- NY.	
1461	39.56	2.638	Spain - PalmadeMallorca 	
1393	39.63	0.21	Spain - Sagunto	
67	39.7	-9.41667	Cascais Tidal wave (real 38.7)	
1439	39.867	3.117	Spain - Alcudia 	
1097	40	-150	Station 46499 - DART Special Test 	
1537	40.146	18.497	Italy - Otranto 	
943	40.5023	14.1609	Italy - Napoli 	
1285	40.7	-74.02	USA - Battery The	
1545	40.842	8.404	Italy - Porto Torres 	
2453	40.96667	27.96667	Turkey - Marmara Ereglisi	
1344	41.048	-71.96	USA - Montauk- NY	
1279	41.173	-73.182	USA - Bridgeport	
819	41.34	2.16	Spain - Barcelona 	
1429	41.523	-70.672	USA - Woods Hole- MA	
851	41.745	-124.183	USA - Crescent_City_CA 	
2457	41.8358	9.3738	France - Solenzara2	
1555	41.836	9.374	France - Solenzara 	
2446	41.92	8.76	France - Ajaccio2	
1438	41.92	8.76	France - Ajaccio 	
2456	42.01667	35.15	Turkey - Sinop	
825	42.355	-71.0516	USA - Boston_MA 	
2487	42.5201	3.10733	France - Port-Vendres2	
2486	42.5201	3.10733	France - Port-Vendres	
41	42.60425	-128.9003	210 NM West of Coos Bay- OR	
2442	42.617	152.583	Station 21401 - 250NM Southeast of Iturup Island	
2531	42.63556	8.938056	France - Ile Rousse	
2511	42.63556	8.938056	France - Ile Rousse2	
1094	42.903	-130.909	Station 46405 - 325 NM West-Southwest of Newport- OR	
1465	42.909	133.922	Russia - Preobrazheniye 	
2448	42.9669	9.350146	France - Centuri2	
1500	42.967	9.35	France - Centuri 	
2458	43.1229	5.91472	France - Toulon2	
